Cal Year,Cal Quarter,Cal Month,Cal Month #,Province,Market,Media Type,Media Sub Type,Ad Spend
2019,Q2,June,06,National,National,Digital,Ad Network/Ad Exchange,73668872
2022,Q4,November,11,British Columbia,Vancouver - Victoria,Newspapers,Community Newspaper,310804
2023,Q2,May,05,Alberta,Lloydminster,Radio,Spot Radio,219104
2022,Q1,March,03,Ontario,Toronto - Hamilton - Niagara Falls,Radio,Other,174581
2019,Q4,December,12,Quebec,Chaleur Bay - Carleton,Linear Television,Specialty TV,16601
2020,Q2,June,06,Alberta,Medicine Hat,Linear Television,Spot TV,18058
2021,Q2,June,06,National,National,Linear Television,Conventional TV,49453961
2021,Q4,November,11,Ontario,Peterborough - Belleville - Trenton,Linear Television,Specialty TV,20256
2019,Q1,March,03,Quebec,Montreal - Laval,Magazines,Trade Magazines,92624
2019,Q2,June,06,Saskatchewan,Regina - Moose Jaw,Linear Television,Spot TV,194172
2021,Q4,November,11,Saskatchewan,Regina - Moose Jaw,Linear Television,Conventional TV,160972
2019,Q1,January,01,Ontario,Sudbury - Timmins - North Bay,Newspapers,Community Newspaper,30219
2018,Q1,February,02,National,National,Out of Home,Ad Sales House,28248
2018,Q3,July,07,National,National,Newspapers,Ad Sales House,4200
2022,Q1,January,01,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,66126
2018,Q1,March,03,Ontario,Kingston,Newspapers,Community Newspaper,39025
2022,Q4,October,10,Ontario,London - Woodstock - Wingham,Radio,Spot Radio,414025
2020,Q1,March,03,Ontario,London - Woodstock - Wingham,Newspapers,Dailies,46137
2020,Q4,November,11,National,National,Magazines,Ad Sales House,21904
2022,Q2,June,06,Saskatchewan,Regina - Moose Jaw,Linear Television,Spot TV,74202
2020,Q1,February,02,Quebec,Quebec City - Levis,Newspapers,Community Newspaper,137036
2020,Q1,January,01,Ontario,Kenora,Newspapers,Community Newspaper,1415
2018,Q2,May,05,Ontario,Toronto - Hamilton - Niagara Falls,Magazines,Trade Magazines,105557
2020,Q2,May,05,Saskatchewan,Swift Current,Linear Television,Conventional TV,381
2019,Q2,June,06,British Columbia,Vancouver - Victoria,Linear Television,Spot TV,3323811
2019,Q2,May,05,Multi-Market,Multi-Market,Out of Home,Street Furniture/Retail,1441652
2022,Q2,May,05,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Conventional TV,180053
2018,Q1,March,03,Newfoundland and Labrador,St. Johns - Corner Brook,Radio,Ad Sales House,2027
2019,Q2,April,04,Ontario,Peterborough - Belleville - Trenton,Radio,Spot Radio,423644
2019,Q2,June,06,Newfoundland and Labrador,St. Johns - Corner Brook,Linear Television,Specialty TV,47551
2018,Q4,November,11,Multi-Market,Multi-Market,Out of Home,Transit,103961
2023,Q1,January,01,Saskatchewan,Prince Albert,Radio,Spot Radio,20592
2021,Q1,January,01,Manitoba,Winnipeg - Brandon,Linear Television,Specialty TV,103287
2021,Q2,May,05,British Columbia,Vancouver - Victoria,Newspapers,Dailies,77915
2023,Q3,September,09,National,National,Linear Television,Conventional TV,52564988
2018,Q4,December,12,National,National,Newspapers,Other,1509
2019,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Linear Television,Conventional TV,20100441
2022,Q2,May,05,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,16736
2019,Q4,December,12,National,National,Magazines,Trade Magazines,677714
2020,Q1,February,02,Alberta,Edmonton,Digital,Print - Digital,4118
2019,Q4,October,10,Alberta,Medicine Hat,Out of Home,Billboards,1440547
2019,Q4,October,10,Ontario,Sudbury - Timmins - North Bay,Newspapers,Community Newspaper,59200
2018,Q1,March,03,Saskatchewan,Swift Current,Linear Television,Specialty TV,8
2023,Q3,September,09,New Brunswick,St. John - Fredericton - Moncton,Linear Television,Specialty TV,33557
2023,Q2,May,05,Saskatchewan,Saskatoon,Radio,Spot Radio,134235
2023,Q2,May,05,Prince Edward Island,Charlottetown,Newspapers,Community Newspaper,8067
2021,Q2,June,06,Quebec,Saguenay,Out of Home,Billboards,5248
2019,Q2,June,06,Ontario,Sault Sainte Marie,Linear Television,Specialty TV,2172
2020,Q4,November,11,Ontario,Kitchener - Waterloo - Cambridge - Guelph,Linear Television,Spot TV,59029
2021,Q2,June,06,Ontario,London - Woodstock - Wingham,Linear Television,Conventional TV,116615
2018,Q4,November,11,Alberta,Red Deer,Newspapers,Community Newspaper,19835
2023,Q3,July,07,Saskatchewan,Saskatoon,Linear Television,Spot TV,111099
2019,Q4,October,10,Ontario,Toronto - Hamilton - Niagara Falls,Digital,Pure Play - Internet Radio,2250
2018,Q3,September,09,Ontario,London - Woodstock - Wingham,Newspapers,Community Newspaper,48225
2021,Q1,March,03,British Columbia,Kelowna - Okanagan Valley - Kamloops,Radio,Spot Radio,415460
2019,Q2,May,05,Saskatchewan,Saskatoon,Newspapers,Dailies,2883
2022,Q4,November,11,Saskatchewan,Yorkton,Radio,Spot Radio,25283
2019,Q1,February,02,National,National,Magazines,Other,3971
2022,Q2,June,06,Ontario,Sudbury - Timmins - North Bay,Linear Television,Spot TV,10046
2019,Q4,October,10,Manitoba,Winnipeg - Brandon,Magazines,Trade Magazines,1000
2019,Q4,December,12,Saskatchewan,Yorkton,Linear Television,Specialty TV,11583
2019,Q3,September,09,Newfoundland and Labrador,St. Johns - Corner Brook,Newspapers,Community Newspaper,18054
2019,Q1,February,02,Ontario,Windsor,Newspapers,Community Newspaper,30168
